configuration_id,stage,count_weight,trace_alpha,sigma,samples_per_generation,population_size,decay,threshold
stage_1__cw0p01__ta0p9__sig0p05__spg8__pop17__dec0p9__th1,stage_1,0.01,0.9,0.05,8,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p05__spg8__pop32__dec0p9__th1,stage_1,0.01,0.9,0.05,8,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p05__spg8__pop48__dec0p9__th1,stage_1,0.01,0.9,0.05,8,48,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p05__spg16__pop17__dec0p9__th1,stage_1,0.01,0.9,0.05,16,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p05__spg16__pop32__dec0p9__th1,stage_1,0.01,0.9,0.05,16,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p05__spg16__pop48__dec0p9__th1,stage_1,0.01,0.9,0.05,16,48,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p05__spg24__pop17__dec0p9__th1,stage_1,0.01,0.9,0.05,24,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p05__spg24__pop32__dec0p9__th1,stage_1,0.01,0.9,0.05,24,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p05__spg24__pop48__dec0p9__th1,stage_1,0.01,0.9,0.05,24,48,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg8__pop17__dec0p9__th1,stage_1,0.01,0.9,0.1,8,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg8__pop32__dec0p9__th1,stage_1,0.01,0.9,0.1,8,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg8__pop48__dec0p9__th1,stage_1,0.01,0.9,0.1,8,48,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg16__pop17__dec0p9__th1,stage_1,0.01,0.9,0.1,16,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg16__pop32__dec0p9__th1,stage_1,0.01,0.9,0.1,16,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg16__pop48__dec0p9__th1,stage_1,0.01,0.9,0.1,16,48,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg24__pop17__dec0p9__th1,stage_1,0.01,0.9,0.1,24,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg24__pop32__dec0p9__th1,stage_1,0.01,0.9,0.1,24,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p1__spg24__pop48__dec0p9__th1,stage_1,0.01,0.9,0.1,24,48,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg8__pop17__dec0p9__th1,stage_1,0.01,0.9,0.15,8,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg8__pop32__dec0p9__th1,stage_1,0.01,0.9,0.15,8,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg8__pop48__dec0p9__th1,stage_1,0.01,0.9,0.15,8,48,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg16__pop17__dec0p9__th1,stage_1,0.01,0.9,0.15,16,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg16__pop32__dec0p9__th1,stage_1,0.01,0.9,0.15,16,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg16__pop48__dec0p9__th1,stage_1,0.01,0.9,0.15,16,48,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg24__pop17__dec0p9__th1,stage_1,0.01,0.9,0.15,24,17,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg24__pop32__dec0p9__th1,stage_1,0.01,0.9,0.15,24,32,0.9,1.0
stage_1__cw0p01__ta0p9__sig0p15__spg24__pop48__dec0p9__th1,stage_1,0.01,0.9,0.15,24,48,0.9,1.0
stage_1__cw0p02__ta0p9__sig0p05__spg8__pop17__dec0p9__th1,stage_1,0.02,0.9,0.05,8,17,0.9,1.0
stage_1__cw0p02__ta0p9__sig0p05__spg8__pop32__dec0p9__th1,stage_1,0.02,0.9,0.05,8,32,0.9,1.0
stage_1__cw0p02__ta0p9__sig0p05__spg8__pop48__dec0p9__th1,stage_1,0.02,0.9,0.05,8,48,0.9,1.0
stage_1__cw0p02__ta0p9__sig0p05__spg16__pop17__dec0p9__th1,stage_1,0.02,0.9,0.05,16,17,0.9,1.0
stage_1__cw0p02__ta0p9__sig0p05__spg16__pop32__dec0p9__th1,stage_1,0.02,0.9,0.05,16,32,0.9,1.0
stage_1__cw0p02__ta0p9__sig0p05__spg16__pop48__dec0p9__th1,stage_1,0.02,0.9,0.05,16,48,0.9,1.0
stage_1__cw0p02__ta0p9__sig0p05__spg24__pop17__dec0p9__th1,stage_1,0.02,0.9,0.05,24,17,0.9,1.0
